"label_full","population","island_group","region","province","locality","latitude","longitude","precision_tier","basis","model_region","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years"
"PhMbo_BukdinonMatigsalug","BukdinonMatigsalug","Mindanao","Northern Mindanao","Bukidnon","San Fernando / Kitaotao",7.8,125.2,"B","S9: Matigsalug in San Fernando & Kitaotao, Bukidnon","mindanao_sulu","5-source",0,0,0,0.078,1.064,2.836,3.132,0.376,0.232,5.554,499.597,0.179103253,NA,NA,28.86,NA,NA,12.24,NA,NA,865.8,NA,NA,367.2
"PhMbo_DavaoMatigsalug","DavaoMatigsalug","Mindanao","Davao","Davao City","Marilog District",7.3333,125.3333,"B","S9: Marilog, Calinan, Paquibato districts, Davao City","mindanao_sulu","5-source",0,0.043,0,0.088,0.884,0.186,0.205,0.027,0.04,0.364,499.599,0.81321328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_AtaManobo","AtaManobo","Mindanao","Davao","Davao del Norte","Talaingod",7.5333,125.6167,"B","S9: Kapalong, Asuncion, Talaingod (DdN) and Paquibato district, Davao City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_ManoboTagabawa","ManoboTagabawa","Mindanao","Davao","Davao del Sur","Bansalan / Sta Cruz (Mt Apo foothills)",6.83,125.3,"B","S9: foothills of Mt Apo - Toril District, Bansalan, Kapatagan, Sta Cruz","mindanao_sulu","5-source",0.235,0,0,0.087,0.715,0.368,0.419,0.063,0.055,0.726,499.597,0.534972579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_OvuManuvo","OvuManuvo","Mindanao","Davao","Davao City","Marilog District",7.3333,125.3333,"A","S9: the Uvo Manuvu included in this study are from Marilog district, Davao City","mindanao_sulu","5-source",0.22,0.117,0,0,0.694,1.334,1.565,0.196,0.202,2.897,499.599,0.660310846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_ManoboAgusan","ManoboAgusan","Mindanao","Caraga","Agusan del Sur","Bunawan (Agusan Marsh)",8.1667,125.9833,"B","S9: Agusan del Sur/Norte & Surigao del Norte; Agusan Marsh significant","mindanao_sulu","5-source",0.355,0,0,0.045,0.645,0.199,0.209,0.027,0.039,0.374,499.602,0.713948028,NA,NA,64.66,NA,NA,20.92,NA,NA,1939.8,NA,NA,627.6
"PhMbo_Manguangan","Manguangan","Mindanao","Davao","Davao de Oro","Monkayo",7.8167,126.05,"C","S9: Manobo-related ICCs of Davao del Norte province","non_mindanao","4-source",0.724,0.376,0,0,NA,0.053,0.029,0.018,0.052,NA,499.591,0.00231532145,NA,NA,36.73,NA,NA,15.08,NA,NA,1101.9,NA,NA,452.4
"PhMbo_Dibabaon","Dibabaon","Mindanao","Davao","Davao de Oro","Montevista",7.7333,126.0667,"C","S9: Manobo-related ICCs of Davao del Norte province","mindanao_sulu","5-source",0.281,0,0,0.022,0.803,0.166,0.182,0.027,0.04,0.317,499.598,0.987628311,NA,NA,22.75,NA,NA,10.04,NA,NA,682.5,NA,NA,301.2
"PhMbo_ManoboRK","ManoboRK","Mindanao","Caraga","Surigao del Sur","Brgy Rajah Cabungsuan, Lingig",8.0367,126.355,"A","S9: resides in Brgy Rajah Cabungsuan, Lingig, Surigao del Sur; S10 LGU Lingig","mindanao_sulu","5-source",0.385,0,0.012,0,0.749,1.146,1.221,0.158,0.107,2.177,499.599,0.107802031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_ManoboIlianen","ManoboIlianen","Mindanao","Soccsksargen","Cotabato","Carmen / Kabacan",7.2,124.8,"B","S9: northern Cotabato province; S10 LGU Kabacan, Cotabato","mindanao_sulu","5-source",0.092,0.061,0,0.039,0.816,0.12,0.139,0.022,0.038,0.238,499.6,0.811124219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_Lambanguian","Lambanguian","Mindanao","BARMM","Maguindanao","Upi / South Upi",6.87,124.22,"A","S9: most Lambangian ICCs in Upi and South Upi, Maguindanao; S10 LGU both","mindanao_sulu","5-source",0.038,0,0,0.015,1.005,1.633,1.617,0.19,0.248,2.842,499.597,0.471097473,NA,NA,28.96,NA,NA,14.68,NA,NA,868.8,NA,NA,440.4
"PhMbo_ManoboDulangan","ManoboDulangan","Mindanao","Soccsksargen","Sultan Kudarat","Kalamansig / Lebak",6.62,124.06,"A","S9: Esperanza, Kalamansig, Lebak, Sen Ninoy Aquino, Palimbang; S10 LGU Lebak+Kalamansig","mindanao_sulu","5-source",0,0,0,0.044,1.23,0.378,0.445,0.059,0.071,0.779,499.6,0.385841256,NA,NA,40.61,NA,NA,11.65,NA,NA,1218.3,NA,NA,349.5
"PhMbo_ManoboSarangani","ManoboSarangani","Mindanao","Soccsksargen","Sarangani","Glan",5.8167,125.2,"A","S9: ICCs in Glan, Sarangani and Jose Abad Santos, Davao Occ.; S10 LGU both","mindanao_sulu","5-source",0,0,0,0.022,1.346,1.33,1.407,0.177,0.117,2.472,499.599,0.579416113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBil_BagoboKlata","BagoboKlata","Mindanao","Davao","Davao City","Calinan / Baguio District",7.16,125.42,"B","S9: Catalunan, Tugbok, Calinan and Baguio districts of Davao City","mindanao_sulu","5-source",0.161,0,0,0.027,1.011,0.59,0.709,0.092,0.112,1.296,499.596,0.44140526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBil_BlaanKoronadal","BlaanKoronadal","Mindanao","Soccsksargen","South Cotabato","Koronadal City",6.5031,124.8469,"A","S9: Koronadal Blaan (To Kalon); S10 LGU Koronadal, South Cotabato","mindanao_sulu","5-source",0.034,0,0,0.037,1.096,2.103,2.037,0.167,0.198,3.783,499.601,0.630959674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBil_BlaanSarangani","BlaanSarangani","Mindanao","Soccsksargen","Sarangani","Malungon",6.2861,125.2836,"A","S9: Blaan of Sarangani province; S10 LGU Malungon, Sarangani","mindanao_sulu","5-source",0.27,0,0,0.03,0.822,2.4,2.531,0.287,0.17,4.708,499.599,0.294970923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBil_Obo","Obo","Mindanao","Soccsksargen","South Cotabato","Lake Sebu",6.22,124.7069,"A","S9: Obo resides in the municipality of Lake Sebu","mindanao_sulu","5-source",0.01,0,0,0.004,1.134,1.29,1.535,0.231,0.09,2.652,499.597,0.451756702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBil_Tboli","Tboli","Mindanao","Soccsksargen","South Cotabato","T'boli (poblacion)",6.2183,124.8233,"A","S9: ICCs in Lake Sebu and Tboli municipalities; S10 LGU Tboli, South Cotabato","mindanao_sulu","5-source",0.006,0,0,0.019,1.192,0.203,0.224,0.034,0.052,0.391,499.597,0.678075823,NA,NA,51.73,NA,NA,15.35,NA,NA,1551.9,NA,NA,460.5
"PhBil_Teduray","Teduray","Mindanao","BARMM","Maguindanao","Upi / South Upi",6.95,124.2333,"A","S9: mainly in the municipalities of Upi and South Upi; S10 LGU both","mindanao_sulu","5-source",0.162,0.031,0,0.065,0.773,7.404,7.117,0.739,0.491,13.294,499.6,0.961116803,NA,NA,80.62,NA,NA,26.68,NA,NA,2418.6,NA,NA,800.4
"PhSan_Sangil","Sangil","Sarangani Is.","Davao","Davao Occidental","Sarangani (Balut/Sarangani Is.)",5.4,125.4,"C","S9 fig grouping; S10 LGU Jose Abad Santos, Davao Occidental","mindanao_sulu","5-source",0,0,0,0.042,1.827,0.227,0.245,0.039,0.074,0.43,499.601,0.405893526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AytaAmbala","AytaAmbala","Luzon","Central Luzon","Bataan","Dinalupihan",14.8783,120.4653,"B","S9: Ayta Ambala in Bataan (Dinalupihan) and Zambales towns","non_mindanao","4-source",0.012,0.961,0,0.054,NA,0.047,0.026,0.017,0.046,NA,499.598,0.174046689,NA,NA,4.6,NA,NA,1.68,NA,NA,138,NA,NA,50.4
"PhNeg_AytaMagbukon","AytaMagbukon","Luzon","Central Luzon","Bataan","Abucay / Bagac (Bataan)",14.68,120.44,"B","S9: found exclusively in Bataan - Abucay, Bagac, Balanga, Limay, Mariveles, Morong, Orani, Orion, Samal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AytaMag-indi","AytaMag-indi","Luzon","Central Luzon","Pampanga","Floridablanca / Porac",15.03,120.53,"B","S9: ICCs in Floridablanca and Porac, Pampanga and San Marcelino, Zambales","non_mindanao","4-source",0.158,0.842,0,0.02,NA,0.044,0.023,0.015,0.045,NA,499.6,0.29528389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AytaMag-antsi","AytaMag-antsi","Luzon","Central Luzon","Pampanga","Sapang Bato, Angeles City",15.1667,120.5333,"A","S9: Bamban/Capas Tarlac, Zambales towns, Mabalacat, Sapang Bato Angeles City; S10 City College of Angeles","non_mindanao","4-source",0.131,0.85,0,0.03,NA,0.042,0.025,0.015,0.043,NA,499.593,0.560952056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AytaSambal","AytaSambal","Luzon","Central Luzon","Zambales","Botolan",15.29,120.03,"B","S9: ICCs found in Botolan and Cabangan municipalities of Zambales","non_mindanao","4-source",0.343,0.662,0,0,NA,0.04,0.022,0.014,0.04,NA,499.593,0.840026483,NA,NA,10.75,NA,NA,5.42,NA,NA,322.5,NA,NA,162.6
"PhNeg_AgtaDupaningan","AgtaDupaningan","Luzon","Cagayan Valley","Cagayan","Palaui Island, Sta. Ana",18.55,122.13,"A","S9: Dupaningan in this study are the Agta ICC of Palaui Island (Palaui Agta)","non_mindanao","4-source",0.329,0.695,0.001,0,NA,0.05,0.027,0.017,0.048,NA,499.594,0.36113703,NA,NA,113.45,NA,NA,33.12,NA,NA,3403.5,NA,NA,993.6
"PhNeg_AgtaLabin","AgtaLabin","Luzon","Cagayan Valley","Cagayan","Lal-lo",18.2,121.65,"A","S9: Agta Labin participants included in the study are from Lal-lo, Cagayan","non_mindanao","4-source",0.514,0.568,0,0,NA,0.047,0.027,0.017,0.047,NA,499.594,0.463870233,NA,NA,23.16,NA,NA,11.12,NA,NA,694.8,NA,NA,333.6
"PhNeg_AttaRizal","AttaRizal","Luzon","Cagayan Valley","Cagayan","Rizal",17.9167,121.45,"A","S9: the Atta ICC included in this study are from Rizal, Cagayan","non_mindanao","4-source",0.432,0.615,0.003,0,NA,0.043,0.026,0.016,0.044,NA,499.596,0.475538577,NA,NA,24.28,NA,NA,6.41,NA,NA,728.4,NA,NA,192.3
"PhNeg_AgtaMaddela","AgtaMaddela","Luzon","Cagayan Valley","Quirino","Maddela",16.3667,121.6667,"B","S9: Agta Maddela (locally Agta Ilagen) of Quirino province","non_mindanao","4-source",0.278,0.806,0.005,0,NA,0.056,0.033,0.021,0.053,NA,499.597,0.0392688965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AgtaCasiguran","AgtaCasiguran","Luzon","Cagayan Valley","Quirino","Brgy Dissimungal, Nagtipunan",16.2,121.65,"A","S9: participants are from Barangay Dissimungal, Nagtipunan, Quirino","non_mindanao","4-source",0.213,0.809,0,0,NA,0.052,0.03,0.019,0.051,NA,499.595,0.326397493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_Arta","Arta","Luzon","Cagayan Valley","Quirino","Nagtipunan (with Agta Casiguran ICC)",16.25,121.65,"A","S9: Arta mostly live together with the Agta Casiguran ICCs of Quirino","non_mindanao","4-source",0.227,0.809,0,0,NA,0.057,0.034,0.021,0.058,NA,499.59,0.221246618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AgtaDumagat","AgtaDumagat","Luzon","Calabarzon","Quezon","General Nakar",14.7514,121.5561,"A","S9: the Agta Dumagat ICC included in the study is from General Nakar, Quezon","non_mindanao","4-source",0.395,0.644,0,0,NA,0.048,0.024,0.016,0.048,NA,499.593,0.0671611085,NA,NA,16.49,NA,NA,4.84,NA,NA,494.7,NA,NA,145.2
"PhNeg_AgtaRemontado","AgtaRemontado","Luzon","Calabarzon","Rizal","Brgy Daraitan, Tanay",14.6333,121.4333,"A","S9: the Agta Remontado ICC in this study is from Brgy Daraitan, Tanay, Rizal","non_mindanao","4-source",0.574,0.461,0,0,NA,0.042,0.023,0.015,0.043,NA,499.591,0.110153494,NA,NA,19.38,NA,NA,7.06,NA,NA,581.4,NA,NA,211.8
"PhNeg_AgtaLopez","AgtaLopez","Luzon","Calabarzon","Quezon","Brgy Villa Espina, Lopez",13.8833,122.26,"A","S9: Agta Lopez resides in Barangay Villa Espina, Lopez, Quezon","non_mindanao","4-source",0.137,0.839,0,0.038,NA,0.057,0.03,0.018,0.054,NA,499.601,0.297537568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AgtaManide","AgtaManide","Luzon","Bicol","Camarines Norte","Jose Panganiban",14.2903,122.6939,"A","S9: Manide participants in this study are from Jose Panganiban, Camarines Norte","non_mindanao","4-source",0.124,0.879,0,0,NA,0.053,0.032,0.019,0.053,NA,499.593,0.509551781,NA,NA,11.64,NA,NA,4.99,NA,NA,349.2,NA,NA,149.7
"PhNeg_AgtaIriga","AgtaIriga","Luzon","Bicol","Camarines Sur","Iriga City (Mt Iriga / Lake Buhi W)",13.4239,123.4111,"B","S9: named after Mt Iriga, Camarines Sur; Lake Buhi West","non_mindanao","4-source",0.459,0.543,0,0.016,NA,0.048,0.026,0.016,0.045,NA,499.596,0.0410822883,NA,NA,30.66,NA,NA,8.33,NA,NA,919.8,NA,NA,249.9
"PhNeg_AgtaIsarog","AgtaIsarog","Luzon","Bicol","Camarines Sur","Mt Isarog (Goa / Tigaon)",13.6592,123.3767,"B","S9: named after Mt Isarog, Camarines Sur","non_mindanao","4-source",0.687,0.347,0.001,0,NA,0.04,0.022,0.013,0.04,NA,499.589,0.258318002,NA,NA,29.5,NA,NA,13.52,NA,NA,885,NA,NA,405.6
"PhNeg_AgtaIraya","AgtaIraya","Luzon","Bicol","Camarines Sur","Buhi (Mt Iraya / Lake Buhi E)",13.4333,123.5167,"B","S9: Inagta of Mt Iraya, Lake Buhi East, Camarines Sur","non_mindanao","4-source",0.518,0.417,0,0.079,NA,0.042,0.024,0.015,0.041,NA,499.588,0.000852422876,NA,NA,13.49,NA,NA,4.77,NA,NA,404.7,NA,NA,143.1
"PhNeg_AgtaMatnog","AgtaMatnog","Luzon","Bicol","Sorsogon","Matnog",12.5875,124.0833,"A","S9: label coined after the municipality where they reside","non_mindanao","4-source",0.758,0.226,0,0.034,NA,0.038,0.021,0.013,0.039,NA,499.59,0.10525066,NA,NA,5.51,NA,NA,1.78,NA,NA,165.3,NA,NA,53.4
"PhNeg_AgtaBulusan","AgtaBulusan","Luzon","Bicol","Sorsogon","Bulusan",12.7508,124.1333,"A","S9: label coined after the municipality where they reside","non_mindanao","4-source",0.768,0.224,0,0.013,NA,0.043,0.021,0.014,0.042,NA,499.604,0.0578265303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AtiPanay","AtiPanay","Panay","Western Visayas","Iloilo","Nagpana, Barotac Viejo",11.05,122.8,"A","S9: Ati ICC of Nagpana, Barotac Viejo, Iloilo; S10 LGU Barotac Viejo","non_mindanao","4-source",0.534,0.437,0,0.059,NA,0.045,0.023,0.015,0.045,NA,499.589,0.0182722554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_AtiNegros","AtiNegros","Negros","Western Visayas","Negros Occidental","Marikudo, Isabela",10.2044,122.9908,"A","S9: Ati ICC of Marikudo, Isabela, Negros Occidental","non_mindanao","4-source",0.708,0.354,0,0,NA,0.047,0.026,0.016,0.046,NA,499.588,0.0184027661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhNeg_Batak","Batak","Palawan","Mimaropa","Palawan","N. Puerto Princesa (Tanabag/Langogan)",10.3,119.05,"C","S9: the Negrito group of Palawan Island; <500 individuals","non_mindanao","4-source",0.377,0.64,0,0.014,NA,0.061,0.033,0.021,0.06,NA,499.589,0.096537983,20.04,NA,22.69,10.18,NA,8.06,601.2,NA,680.7,305.4,NA,241.8
"PhNeg_Mamanwa","Mamanwa","Mindanao","Caraga","Agusan del Norte","Kitcharao / Santiago",9.45,125.6,"C","S9: ICCs in Surigao del Norte, Surigao del Sur and Agusan del Norte","mindanao_sulu","5-source",0,0.119,0,0.029,1.248,14.237,16.054,1.801,0.185,28.377,499.599,0.187033197,NA,NA,28.64,NA,NA,12.15,NA,NA,859.2,NA,NA,364.5
