language,I,blood,bone,breast,come,die,dog,drink,ear,eye,fire,fish,full,hand,hear,horn,knee,leaf,liver,louse,mountain,name,new,night,nose,one,path,person,see,skin,star,stone,sun,tongue,tooth,tree,two,water,we,you
MANSAKA,aku,dugu7,p3sa7,aba,NA,NA,idu7,in3m,tariNa,mata,aturun,kaya,itmu7,b3kt3n,d3N3g,NA,tu7ud,da7un,atay,kutu,b3tay,aran,bagu,gabi,iluN,isa,daran,utaw,kita7,paris naN 7utaw,bitu7un,batu,NA,dila7,untu,ka7uy,duwa,tubig,kita,ikaw
MAPUN,aku,laha7,towaN,dakan,pitu,imuwa,ido7,inum,tiNa,mata,api,dayiN,NA,taNan,ke,NA,NA,dawun,atay,kutu,NA,awon,bahau,bahaNi,samo,damb~uwa7,lan,jama,kita,kuwit,potean,batu,NA,dala7,imp~on,NA,duwa,bohe7,kitabi,ko
MARANAO,ako,rogo7,tolan,soso,danon,matay,aso,inom,taNila,mata,apoi,seda7,NA,lima,makineg,NA,NA,ra7on,atay,koto,NA,Naran,bego,gagaoi7i,iroN,isa,lalan,taw,ilay,anit,bito7on,wato,NA,dila7,Nipen,NA,doa,ig,kita,ka
MARINDUQUE TAGALOG,qaku,duguq,butqu,susu,NA,mamatay,qasu,qinum,tayNa,mata,qapuy,qisdaq,NA,kamay,dinig,NA,NA,dahun,qatay,kutu,NA,paNalan,bagu,gabqi,qiluN,qisa,daqan,tawu,kita,balat,bituqin,batu,NA,dilaq,Nipin,NA,dalwa,tubig,kita,qikaw
MASBATENYO,ako,dugo,tulaN,suso,magdayo,mamatay,aso,maginom,taliNa,mata,kalayo,isda,NA,kamot,magbati,NA,NA,dahon,atay,kuto,NA,Naran,bago,gabi,iroN,isad,dalan,tawo,magkita,panit,bituon,bato,NA,dila,Nipon,NA,duha,tubig,kita,ikaw
MINANGALI LOWER TANUDAN KALINGA,sakon,da8a,tuNa8,NA,umali,natoy,asu,uminum,iNa,ata,apuy,ugadiw,NA,ima,doNo8,NA,NA,tubu,agtoy,kutu,NA,Nadan,kaka8a,labi,oNo8,osan,ka8sa,tagu,ilan,kublit,bituwon,batu,NA,dela,baba,NA,duwa,danum,ditaku,sika
MOKSHA,mon,vy~er,pakary~,poty~a,sams,kuloms,pi5e,sy~imoms,pily~e,sy~ely~my~e,tol,kal,paSksy~e,kady~,mary~ams,sy~ura,ely~,lopa,maksa,sy~i,panda,ly~em,od,vy~e,Salxka,fka,yan,loma5,5ayems,kisy~ke,ty~aSty~e,kev,Si,kaly~,pey,Sufta,kafta,vy~edy~,my~i5,ton
MOLBOG,aku,daha7,tulaN,dudu7,kuan,patoy,idoN,inum,toliNa,mata,apuy,soda7,ponu7,loNon,doNog,tand~uk,bulanbulan tukud,do7un,atoy,kutu,bukid,Nadan,bagu,gobi,oduN,isa7,dalan,jolama,lotog,kulit,bitu7on,batu,odow,dila7,nipon,kayu,dua,danum,kay,ko
MOLBOG 2,aku,NA,tu7laN,NA,NA,pat3y,id3N,minum,t3liNa,mata,apuy,s3da7,NA,lima,deNeg,NA,NA,d37un,at3y,kutu,bukid,Nadan,ba7gu,gebi,3duN,isa7,dalan,NA,l3t3g,kubal,bitu3n,batu,3dd3w,dila7,nip3n,kayu,dua,danum,kai,k3
MONGOLIAN,py~i,ch~us,yas,mem,iri,NA,murtux,untLa,Ch~ix,nut,GaL,caGas,puth~iN,Gar,sonso,iwir,uwtug,nawCh~,iLig,pos,uL,nir,Sin,Sunu,xamar,nik,cam,xuN,uci,Ery~s,ot,Ch~uLu,nar,xiL,Sut,mot,xoyor,us,py~it,Ch~i
MORO MAGINDANAU,aku,NA,tulan,susu,sia,matay,asu,inum,taNila,mata,apuy,seda,napunu,lima,kinug,siduN,alub,laun,atay limpa,NA,palau,Nalan,bagu,magabi,iluN,isa,lalan,lanas,ilay,upis,bitu,uatu,sinaN,dila,Nipun,kayu,dua,ig,ta,ka
NAGA,qaku,duguq,tuqlaN,susu,qabut,gadan,qayam,qinum,taliNa,mata,kalayu,siraq,panuq,kamut,daNug,suNuy,tuhud,dahun,katuy,kutu,bukid,Naran,baqgu,baNgi,duNuq,saruq,dalan,tawu,hiliN,kublit,bituqun,gapuq,qaldaw,dilaq,Nipun,kahuy,duwa,tubig,kita,kamu
NORTHERN CATANDUANES,qaku,duguq,tuqraN,susu,qabut,daqan,qayam,qinum,tariNa,mata,karayu,qisdaq,buta,kamut,duNug,suNay,tuhud,dahun,qatay,kutu,burud,Naran,baqgu,gaqbi,qiluN,saduq,daran,tahu,taqnaw,panit,bituqun,batu,qardaw,dilaq,tiNu,kahuy,dawha,tubig,kita,kamu
NORTHERN SORSOGON,qaku,duguq,tulqaN,susu,qabut,matay,qayam,qinum,taliNa,mata,kalayu,siraq,punuq,kamut,matiq,suNay,tuhud,dahun,qatay,kutu,bulud,Naran,bagqu,gabqi,qiluN,qisad,dalan,tawu,kita,panit,bituqun,batu,qadlaw,dilaq,Nipun,kahuy,duwa,tubig,kita,kamu
OAS,qaku,ruguq,tuqlaN,susu,ratiN,giran,qayam,qinum,taliNa,mata,kalayu,qisraq,punuq,kamit,riNig,suNuy,tu7ud,dawun,qatay,kutu,bukid,Naran,baqgu,gaqbi,quruN,qisad,raran,tawu,kita,kulit,bituqun,batu,qanriw,dilaq,Nipin,kawuy,duwa,tubig,kita,kamu
PALAWANO BATAK,aku,tag3k,tulaN,dudu,mu7atkaka7ini,napatay,k3d3N,inum,taliNa,mata,apuy,s3da7,NA,alima,bati7,NA,NA,daun,atay,kutu,NA,Naran,bagu,d3l3m,uruN,3sa,dalan,taw,l3gan,kulit,panakonun,batu,NA,dila7,nip3n,NA,dua,danum,kitami,ikaw
PANGASINAN,siak,dala,pokel,suso,laka,unpatey,aso,inom,layag,mata,po7ol,sira,NA,lima,deNuel,NA,NA,buloN,altey,kuto,NA,Naran,balo,labi,eleN,sakey,NA,to,neNneN,balat,biteuen,bato,NA,dila,Nipen,NA,duara,danom,sikami,sika
PANGUTARAN SAMA,aku,laha7,bokog,dagh~a,"t""ka",matay,ero7,inum,taiNa,mata,api,daiN,NA,taNan,ke,NA,NA,daun,atay,kutu,NA,on,bahu,saNom,NA,dakayo7,NA,a7a,nda,kuwit,bitun,batu,NA,NA,NA,NA,duwa,bohe7,kita,ka7u
PANGUTARAN SAMA (1),aku,laha7,bokog,dagh~a,"t""ka",matay,ero7,inum,taiNa,mata,api,daiN,NA,taNan,ke,NA,NA,daun,atay,kutu,NA,on,bahu,saNom,NA,dakayo7,NA,a7a,nda,kuwit,bitun,batu,NA,NA,NA,NA,duwa,bohe7,kita,ka7u
PROTO PALAWAN,7aku,dugu7,tu7laN,NA,NA,patay,7id3N,7inum,taliNa,mata,7apuy,s3da7,NA,lima,eNeg,NA,NA,da7un,7atay,kutu,bukid,Naran,ba7gu,gebi7i,7aruN,7isaq,dalan,ta7u,l3t3g,kubal,bitu73n,batu,7aldaw,dila7,nip3n,kayu,dua,danum,kami,ka
QUEZON PALAWAN,aku,dugu7,tu7laN,NA,NA,pat3y,NA,minum,t3liNa,mata,apuy,s3da7,NA,lima,kineg,NA,NA,d37un,at3y,kutu,bukid,Naran,ba7gu,gebi,3duN,isa,dalan,taw,NA,NA,bitu73n,batu,3ld3w,dila7,nip3n,kayu,dua,danum,kami,k3
ROMBLOMANON 1,Eko,dugo,tuy7an,soso,NA,NA,ayam,pag7inum,taliNa,mata,kalayo,isda,NA,kamot,bati7,NA,NA,dahon,atay,koto,NA,Nayan,bag7o,gab7i,iloN,isa,dayan,tawo,pagtan7aw,anit,bitu7on,bato,NA,dila7,Nipon,NA,duha,tubi7,kita,ikaw
ROMBLOMANON 2,7aku,dugu7,tuy7an,susu,7abut,bugtu7,7ayam,inum,taliNa,mata,kalayu,isda,punu7,kamut,banawbanaw,suNay,tuhud,dahun,7atay,tuma,bakuyud,tawag,bag7u,gab7i,7iluN,7isa,dayan,tawu,batyag,panit,bitu7un,batu,7adlaw,dila7,Nipun,kahuy,duha,tubi7,kita,7ikaw
SAMAL,aku,laha7,koa7,dudu7,NA,NA,edo7,inum,taliNa,mata,api,daiN,ap3nno7,taNan,kale,NA,tu7ut,daun,atay,kutu,buud,oon,baha7u,saNom,uung,isa,laan,a7a,3nda7,kulit,bitu7un,batu,NA,d3lla7,empon,kayu,dua,bohe7,kitam,ka7a
SAMBAL BOTOLAN,hiko,daya7,bot7o,nono7,NA,NA,aho7,minom,toli,mata,apoy,ikan,napno7,gam3t,mal3N37,NA,to7ol,boloN,agtay,koto,bakil,Nalan,bayo,yabi,baloNo,miha,daan,tao,makit,katat,bito73n,bato,NA,dila7,Nip3n,kayo,loa,lanom,hitamo,hika
SANGIL,ia7,dara,duri,susu,NA,pate,NA,inuN,NA,mata,putuN,kina7,NA,lima,diNir37,NA,buku,dauN,ate,kutu7,NA,aleN,buru,NA,iluN,sa,daleN,taw,NA,pisi,NA,batu,law,dila,isi,kayu,dalua,ake7,NA,kaw
SANGIL SARANGANI ISLANDS,ia7,dara,duri,susu,NA,NA,asu,maNinuN,tuli,mata,putuN,kina7,mapene7,lima,makadiNir37,NA,buku,dauN,ate,kutu7,bud37,aleN,buru,r3bi,iluN,sa,daleN,taw,makasilaw,pisi,bituiN,batu,NA,dila,isi,kayu,dalua,ake7,ikame,ikaw
SEDANG,a,moheam,koSiaN,tou,NA,hla,Co,ou,tuan,ma,on,ka,peN,koN,taN,NA,kraN,hla,kliam,Sro,No,inai,neo,koN maN,moh,moi,troaN,Ne,honai,kea,holoN,hmou,hai,rope,honeN,loaN,pea,tea,pa,eh
SIBUTU SOUTHERN SAMA,aku,laha7,tolaN,susu,pitu,matey,ero7,inum,teyNa,mata,NA,deyN,NA,taNan,kale,NA,NA,down,atey,kutu,NA,NA,bahau,saNom,uN,isa,lan,NA,nda,kulit,mamahi,batu,NA,dela7,empon,NA,duwa,bohe7,kita,kow
SOGODNIN BORACAY,ak,dogo,tol7an,soso,hindon,tigbak,ayam,i7inom,talinga,mata,yimpon,isda7,NA,alima,bati7,NA,NA,dahon,atay,koto,NA,Naran,badyo,kalap,oroN,isaN,dalan,tawo,kita7,panit,biton,bato,NA,dila7,hipon,NA,darwa,awad,ikam,NA
SOUTH SAAMI,man3,v3r3,moaro3,5amah,boet3,yaem3,b3e53,%yowk3,bieLi3,Cy~elmi3,dol3,gueli3,d3ev3s,g3et3,gowl3,%Cy~oervi3,boelv3,%last3,libri3,diki3,Cy~ak3,%nom3,or3,3y3,5ueni3,akt3,balka,%almeCy~3,vuen3,5alCy~a,naesti3,gierki3,bieyi3,5oekCy~em3,baeni3,moer3,gekt3,Cy~aeci3,miyieh,datn3
SOUTHERN CATANDUANES,qaku,duguq,tulqaN,susu,qabut,gadan,qayam,qinum,tariNa,mata,kalayu,silaq,panuq,kamut,daNug,suNay,tuhud,dahun,katuy,kutu,bulud,Nalan,bagqu,baNgi,duNuq,saluq,dalan,tawu,hiliN,panit,bituqun,batu,qaldaw,dilaq,tiNu,kahuy,duwa,tubig,kita,kamu
SOUTHERN SORSOGON,qaku,duguq,tulqaN,susu,qabut,matay,qayam,qinum,taliNa,mata,kalayu,qisdaq,punuq,kamut,batiq,suNay,tuhud,dahun,qatay,kutu,bulud,Naran,bagqu,gabqi,qiruN,sayuq,dalan,tawu,qimug,panit,bituqun,batu,qadlaw,dilaq,Nipun,kahuy,duwa,tubig,kita,kamu
SOUTHWEST PALAWANO,ako,dugo7,tulaN,dudo7,ato7,patey,ideN,inom,teliNa,mata,apoy,seda7,NA,elima,kiNeg,NA,NA,deon,atey,kuto,NA,Naran,bago,gebi,edoN,isa7,dalan,taw,biri7,kulit,bituen,bato,NA,dila7,nipen,NA,dua,danom,kami,ikew
SPANISH,yo,sangre,weso,peCo,veni,mori,pero,bebe,oreha,oho,fuego,peskado,yeno,mano,oir,kw~erno,rodiya,oha,igado,pioho,sero,nombre,nuevo,noCe,naris,uno,senda,persona,ve,piel,estreya,piedra,sol,lengw~a,diente,arbol,dos,agw~a,nosotros,ustet
SUBANON SIOCON,akon,dugu7,tulan,dudu7,NA,NA,gayam,minum,toliNa,mata,gapoy,soda7,omponu7,komot,mokinoNog,NA,glulud,daon,gatoy,gotu,bontod,Nalan,bogu,gobi,suN,sala bok,dalan,gotow,moktoNow,panit,bitun,batu,NA,dila7,Nisi,kayu,dua7,tubig,ita,ika
SUBANUN SINDANGAN,inan,dugu7,tolan,dudu7,NA,NA,gitu7,minum,t3liNa,mata,gapuy,s3da7,mp3nu7,beNk3n,m3d3N3g,NA,dlulud,doon,gatay,gutu,b3ntud,Nalan,b3gu,g3bii,suN,sala,dalan,g3tau,meta7,panit,bitun,batu,NA,dila7,Nisi,gayu,dua7,tubig,ita,ya7a
SURIGAONON,ako,dugo7,bukog,suso,dali7,patay,ido,inom,taliNa,mata,kayajo,isda,NA,alima,duNog,NA,NA,dahon,atay,kuto,NA,Nayan,bago,duyom,iloN,isa,dayan,tawo,kita,panit,biton,bato,NA,dila,Nipon,NA,duha,tubig,kita,ikaw
TAGABAWA,a,dipanug,tulan,susu,sadun,mate,asu,inam,NA,mata,apuy,NA,panu,balad,dinag,NA,NA,daun,NA,NA,pabuNan,Nadan,mant~u,dukilam,NA,sabad,dalan,manubu,kita,NA,NA,NA,alo,NA,Nipan,kayu,duwa,wayig,ki,nu
TAGABILI,o7uh,lito7,ti7ol,tutu7,NA,NA,ohuh,minum,kliNuh,matah,ofih,uton 7el,hnok,sig3l,muNol,NA,bukol,do7un,katay,kutuh,bulul,boluy,lomih,kifuh,iluN,sotuh,lan,ta7uh,mton,kulit,blotik,botuh,NA,dilak,nihih,koyuh,l3wuh,el,t3kuy,u7uh
TAGALOG,ako,dugo,buto,susu,datiN,patay,aso,inom,teNa,mata,apoy,isda,puno,kamay,dinig,saNay,tuhod,dahon,atay,kuto,bundok,paNalan,bago,gabi,iloN,isa,dan,tao,tiNin,balat,bituin,batu,araw,dila,Nipin,punuNkahoy,dalawa,tubig,tayo,ikaw
TAGBANUA ABORLAN,7aku,dugu7,tu7laN,NA,NA,patay,k3gd3N,7inum,taliNa,mata,7apuy,s3da7,NA,7alima,geneg,NA,NA,da7un,7atay,kutu,bukid,Naran,ba7gu,NA,7uruN,73sa,dalan,taw,l3t3g,NA,bitu7un,batu,7aldaw,dila,nip3n,kayu,dua,danum,kami,ka
TAGBANWA ABORLAN,aku,dugu7,tu7laN,dudu7,NA,NA,k37d3N,inum,taliNa,mata,apuy,s3da7,punu,alima,g3n3g,NA,tu7ud,da7un,atay,kutu,bukid,Naran,ba7gu,d3l3m,uruN,3sa,dalan,taw,l3t3g,lamilamit,bitu7un,batu,NA,dila,nip3n,kayu,dua,danum,tami,ka
TAGBANWA KALAMIAN,yuu,dugu7,duli7,susu7,NA,NA,kiru7,in3m,taliNa7,mata7,apuy,ian,punuk,kalima7,d3N3l,NA,tuud,k3lad,kandas,tut7,bukid,aran,baklu7,labii,uruN,tasa7,dalan,tau7,ita7,ulit,bitukun,batu7,NA,dilak,NA,ayu7,durua7,wai7,ita,yawa
TALAANDIG BINUKID,yan7a,laN3sa,tul7an,NA,dini,minatay,aso,in3m,taliNa,mata,hapuy,isda7,punu7,alima,paliman,suNay,bu7ol,dahon,atay,lusa7,buntod,Naran,bag7u,dal3man,id3N,sabuwa,dalan,3taw,aha7,laNgit,bituon,batu,anlaw,dila7,Nip3n,kayu,daduwa,wahig,yaNkuy,yaNka
TAMBUNAN DUSUN,yoku,raha,tulang,susu,rumikot,napatai,tasu,monginum,tolingo,mato,tapui,sada,NA,longon,korongou,NA,NA,roun,tokowiyau,lios,NA,ngaran,wagu,totuong,todung,iso,ralan,tulun,kokito,kulit,rombituon,watu,NA,dila,nipon,NA,duo,waig,yahai,ika
TAUSUG,akuh,dugu7,bukug,duru7,NA,NA,qiru7,mag7inum,taiNah,matah,kayuh,ista7,hipu7,limah,magduNug,NA,tuhud,dahun,atay,kutuh,buud,Nan,ba7guh,duum,iluN,hambu7uk,daan,ta7uh,kimita7,pa7is,bitu7un,batu,NA,dila7,ipun,kahuy,duah,tubig,kitaniuh,kaw
TAUT BATU,aku,dugu7,tu7laN,NA,NA,pat3y,7ideN,7inum,taliNa,mata,7apuy,s3da7,NA,NA,kiNeg,NA,NA,d37un,7at3y,NA,bukid,Naran,ba7gu,gebi7i,7aduN,isa7,dalan,ta7u,NA,NA,bitu73n,batu,7aldaw,dil3p,nip3n,kayu,dua,danum,kami,k3
TBOLI TAGABILI,nu7 s3h,lito7,ti7ol,tutu7,mogow,d3N matay,ohuh,minum,kliNuh,matah,ohu7,uton,NA,sigtl~,muNol,NA,NA,do7un,katay,kutuh,NA,boluy,lomih,kifuh,iluN,mso7,lan,ta7uh,mton,kulit,blotik,botuh,NA,dilak,nihih,NA,sotuh,el,duh,o7uh
TIMUGON MURUT,aku,dada7,tulaN,titi7,datoN,patoy,uku7,inum,taliNo,mato,apuy,papait,NA,kalind~u7,doNog,NA,NA,daun,aNk~ayaw,kutu,NA,galan,agu,dond~om,aduN,ditakaw,dalan,ulun,kito,kuNk~uN,butitin,batu,NA,dila7,dipon,NA,dond~o7,timug,to,kow
TIRURAY,begen,dara,bukal,tutu7,aNey,fandus,itu7,inem,keliNo7,moto,afey,sedo7,besor,kuwonon,bohol,siduN,etur,da7un,tagah,kuwor,menitey,dawet,antu,buteN,iruN,uno,aguwon,etew,NA,kulit,gito7on,batew,teresaN,dila7,kifen,kayew,dos,reguwas,betom,be7em
TURKISH,ben,kan,kemik,g3Gis,gel,zar,k3pek,iCki,kulak,delik,ateS,bal3k,dolugun,el,iSitmek,bonuz,diz,yeprak,%karajiyer,bit,da silsilesi,isim,yeni,geje,burun uj,bir,keCi yolu,sah3s,g3r,deri,y3ld3z,taS,gineS,dil,diS,ayaC Sejere,iki,su,biz,sen
UGARITIC,an,dm,X8X~m,8d,atw,mt,klb,Sty,udn,Xn,iSitu,dg,NA,yd,SmX,qrn,brk,NA,kbd,NA,gbl,Sm,Xd8,ll,apu,aXd,ntb,adm,amr,Xoru,kbkb,abn,SapSu,laSanu,Sn,XsX~,8n,my,NA,ata
WARAY WARAY,ako,dugo,tulan,dughan,kanhi,matay,ayam,inom,taliNa,mata,kayo,isda,NA,kamot,pamati,NA,NA,dahon,atay,tuma,NA,Naran,bago,gabi,iroN,usa,dalan,tawo,kita,panit,biton,bato,adlaw,dila,Nipon,NA,duha,tubig,kita,ikaw
YAKAN,aku,laha7,tolaN,susu,pitu,matey,asu,inum,tayiNe,mata,ebut,kena,NA,%taNan,takale,NA,NA,dawen,bua7,kutu,NA,alen,ba7ahu,saNem,uN,isa7,lalan,a7a,kite,kuit,bitu7un,batu,NA,dela7,imp~en,NA,duwe,bohe7,kita,ka7u
YOGAD,ku,daga,tulaN,sussu,NA,bayandag,atu,inum,bambaN,mata,afuy,ikan,pannu,kamat,sim,tagud,tud,don,agal,tuma,bakulud,nagan,bagu,gabi,iguN,tata,daddaman,tawlay,ita,gaddaN,bitun,batu,igaw,dila,Nipan,kayu,addu,danum,NA,NA
ZAMBOANGUENO,yo,sa*Nre,weso,teta,be*i,mori,%iru,toma,orehas,oho,pw~ego,peskaw,ly~e*o,ma*o,si*ti,kw~erno,rudily~a,ohas,igaw,%kutu,%bu*dak,nomb~re,nw~ebo,noCe,naris,uno,se*dero,he*te,mira,py~el,estrely~a,py~edra,sol,le*Nw~a,dy~e*te,%pu*o,dos,agw~a,%kita,ebos
IMOROD,NA,rala,totowang,soso,mayi,zakat,agsa,inom,taliNa,mata,apoy,amoN,NA,pamamahadan,mamiziN,NA,NA,vohoN,atay,toma,NA,Naran,vayo,mahep,momodan,asa,rarahan,tao,cita,kolit,mata no aNit,vato,NA,lila,Nepen,NA,dowa,ranom,NA,NA
BABUYAN,NA,raya,tohaN,soso,ay,diman,Cito,inom,taji5a,mata,apoy,amoN,NA,panorowan,adNey,NA,NA,bohoN,atayi,bigaw,NA,Naran,bayo,ahep,momodan,asa,rarahan,tao,NA,kodit,bitohen,bato,NA,rida,5ipen,NA,dowa,ranom,NA,NA
BISAYA SABAH,NA,dra,panah,susu,temuloi,matai,asu,inum,teliNo,mato,apoi,sada,NA,luNon,kruNau,NA,NA,dun,lakaiau,NA,bukit,naran,agu,putoN,adoN,NA,teNaio,NA,intoN,kulit,paru,tali,mataNadau,dilo,ipan,kayu,NA,aiek,NA,NA
FINALLIG,NA,Cara,ikor,susu,omali,matoy,aso,omenom,inga,mata,NA,kiaCiw,NA,lima,Congron,NA,NA,tofo,agtoy,koto,NA,ngadan,fiaro,lafi,angor,osa,Caran,tako,ilaon,koblet,taraw,fiato,NA,Cila,fiab,NA,Cowa,Canom,NA,NA
HILIGAYNON,NA,dugo7,tulan,suso,kadto,patay,idu,ilimnon,duluNg~an,mata,Clayo,isda,NA,kamut,mati,NA,NA,dahon,atay,NA,NA,Nalan,bago,gabi,iloN,isa,dalan,tao,kita,panit,bituon,bato,NA,dila7,Nipon,NA,NA,tubig,kita,ikaw
INABAKNON,NA,laha7,ta7ulaN,darakan,da7ito,matay,ido7,tal7~ok,taliNa,mata,api,dayiN,NA,kamb~ag,kali,NA,NA,dahon,atay,kuspad,NA,aron,bag7~o,saNom,uroN,NA,lalan,a7a,kulaw,anit,bitu7on,bato,NA,dala7,imp~on,NA,NA,buwahi7,kami7,NA
IRARALAY IVATAN,NA,rala,totowaN,soso,may,zakat,agsa,inom,taliNa,mata,apoy,amoN,NA,lima,amizeN,NA,NA,vohoN,atayi,koto,NA,Naran,vayo,ahep,momodan,asa,rarahan,tao,NA,kolit,mata no hany~it,vato,NA,lila,Nepen,NA,dowa,ranom,NA,NA
ISAMORONG IVATAN,NA,raya,tohaN,soso,may,diman,Tito,inom,tadi5a,mata,apoy,amoN,NA,tanoro,adNey,NA,NA,vohoN,atay,koto,NA,Naran,vayo,misarisari,momodan,asa,rarahan,tao,voya,kodit,vitohen,vato,NA,rida,5ipen,NA,dadw~a,ranom,NA,NA
IVASAY IVATAN,NA,raya,tohaN,soso,maNay,diman,Cito,inom,tadi5a,mata,apoy,amoN,NA,tanoro,adNey,NA,NA,vohoN,atay,NA,NA,Naran,vayo,mahep,mohed,asa,rahan,tawo,tib,kodit,vitohen,bato,NA,rida,5ipen,NA,dadw~a,danom,NA,NA
KANKANAEY,NA,dada,toNa,soso,omali,matey,aso,maninom,keweN,mata,apoy,nigay,NA,takay,deNen,NA,NA,tobo,atey,koto,NA,Nadan,balo,labi,eN,esE,danan,ipogaw,ilaen,kopkop,talaw,bato,NA,dila,baba,NA,dowE,danom,NA,NA
LIMOS KALINGA,NA,dala,duli,susu,dumatoN,matoy,asu,uminum,inga,ata,apuy,ikan,NA,ima,magngol,NA,NA,tubu,agtoy,kutu,NA,ngadan,bagu,labi,ongol,osa,dalan,tagu,umila,kupsit,bituwon,batu,NA,dila,ngipon,NA,duwa,danum,NA,NA
MANDAYAN BOSO,NA,dugu7,p3sa7,susu,NA,NA,idu7,imin3m,taliNa,mata,atulun,kaya,yamabiyag,b3kt3n,y3d3N3g,NA,tu7ud,NA,atay,kutu,b3tay,galan,bagu,gabi,iluN,isa,NA,utaw,yakita7,palis,bitu7un,batu,NA,dila7,untu,kauy,duwa,tubig,NA,NA
MANDAYAN CARAGA,NA,dugu7,pusa7,susu,NA,NA,idu7,minum,taliNa,mata,atulun,NA,biyag,buktun,dunug,NA,tu7ud,NA,atay,kutu,butay,galan,NA,gabi,iluN,isa,NA,utaw,yakita7,palis,bitu7un,batu,NA,dila7,untu,ka7uy,duwa,tubig,NA,NA
MANDAYAN ISLAM PISO,NA,dugu7,pusa7,susu,NA,NA,idu7,inim,taliNa,mata,atuun,NA,biyag,b3kt3n,d3N3g,NA,tuud,NA,atay,kutu,butay,gaan,bagu,gabi,iluN,isa,NA,utaw,matanaw,palis,bituun,batu,NA,dila7,untu,kauy,duwa,tubig,NA,NA
MANSAKA 2,NA,dugu7,p3sa7,susu,NA,NA,idu7,in3m,taliNa,mata,atulun,kaya,biyag,b3kt3n,d3N3g,NA,tu7ud,NA,atay,kutu,b3tay,galan,bagu,gabi,iluN,isa,NA,utaw,kita7,palis,bitu7un,batu,NA,dila7,untu,ka7uy,duwa,tubig,NA,NA
PROTO SOUTHERN MINDANAO,NA,lita7,tulan,tutu7,NA,mat3y,ay3m,inum,kilNu,mata,lipuh,nalap,NA,sig3l,liNu,NA,NA,da7un,atay,kutu,NA,dagit,palami,butaN,iluN,satu,NA,ta7u,t3n,kulit,blatik,batu,NA,dila,kipan,NA,l3wu,37il,NA,NA
SINAUNA,NA,dugu7,but7i,susu,NA,NA,asu,inum,taliNa,buliga7,apuy,isda7,NA,alima,landap,NA,NA,hayin,atay,kutu,NA,Naran,ba7yu,abi,a7doN,isa7,bakas,ata,mi7sul7aN,balat,bitu7in,igaN,NA,dila7,Nip3n,NA,dar7a,la7u,NA,NA
SOUTHERN KALINGA,NA,Cara,Culi,susu,CumatoN,matoy,asu,uminum,iyanga,ata,NA,ukaCiw,NA,ima,Congron,NA,NA,tufu,agtoy,utu,NA,ngaCan,ara,lafi,ongor,osa,Caran,taku,umila,uglit,fituwon,fatu,NA,Cila,fafa,NA,Cuwa,Canum,NA,NA
