concept,AGTA,AKLANON,ATTA PAMPLONA,BALANGAW,BALANGINGI SAMA,BALANGINGI SAMA (1),BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BINUKID,BONGGI,BONTOC GUINAANG,BROOKES POINT PALAWAN,BUHI,BUHINON ALBAY BICOLANO,BUKIDNON BINUKID,BUTUANON,CAIJIA,CANIPAAN PALAWAN,CASIGURAN NEGRITO,CEBUANO,CENTRAL BICOLANO,CENTRAL BONTOC,CENTRAL DUSUN,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBALOI,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ISNEG,ITAWIT,ITBAYATEN BATANES ISLANDS,ITNEG BINONGAN,IVATAN BATANES ISLANDS,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KALLAHAN KELEYQIQ IFUGAO,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAGUINDANAO,MAMANWA,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MARINDUQUE TAGALOG,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MOLBOG 2,MONGOLIAN,MORO MAGINDANAU,NAGA,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PANGUTARAN SAMA (1),PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 1,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANUA ABORLAN,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TALAANDIG BINUKID,TAMBUNAN DUSUN,TAUSUG,TAUT BATU,TBOLI TAGABILI,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,FINALLIG,HILIGAYNON,INABAKNON,IRARALAY IVATAN,ISAMORONG IVATAN,IVASAY IVATAN,KANKANAEY,LIMOS KALINGA,MANDAYAN BOSO,MANDAYAN CARAGA,MANDAYAN ISLAM PISO,MANSAKA 2,PROTO SOUTHERN MINDANAO,SINAUNA,SOUTHERN KALINGA
skin,tobbit,panit,tabbi7,uglet,kuwit,kuwit,azal,kulit,kulit,kindal,langgit,kubal,kopkop,kubal,kublit,kolit,laNgit,panit,p3u,NA,NA,panit,kublit,lapdut,kulit,kulit,kulit,kulit,kulet,gadaN,%skin,%pil,nak,iho,ph~ui,gaddaN,tarik,laNgit,bir,bedat,tabi7,kulit,7up7up,up7up,up7up,kudil,kalib,bidat,upis,kulit,lublub,lublub,gEdEN,kulit,kopsit,kodit,kawa,kuhit,laNg~it,kindal,oblit,kupsit,b3lat,belat,kollop,balat,panit,gopjil,qunit,kulit,nogyo,upis,kindal,laplap,kindaa,lundis,kunul,kindal,laNgit,lundis,paris naN 7utaw,kuwit,anit,balat,panit,kublit,kisy~ke,kulit,kubal,Ery~s,upis,kublit,panit,panit,kulit,kulit,balat,kuwit,kuwit,kubal,NA,anit,panit,kulit,katat,pisi,pisi,kea,kulit,panit,5alCy~a,panit,panit,kulit,piel,panit,panit,panit,NA,kulit,balat,NA,lamilamit,ulit,laNgit,kulit,pa7is,NA,kulit,kuNk~uN,kulit,deri,Xoru,panit,kuit,gaddaN,py~el,kolit,kodit,kulit,koblet,panit,anit,kolit,kodit,kodit,kopkop,kupsit,palis,palis,palis,palis,kulit,balat,uglit
star,bitwon,bitu7un,bituan,talaw,bitu7un,bitu7un,izar,panakunun,blotik,blatik,bitu73n,bitudn~,talaw,bitu3n,bitiqwin,bito7on,bituon,bituon,Sisu,bitu3n,bitun,bitun,bitun,talaw,rombituon,bitukon,biton,bituqun,biton,pusiyan,star,pisakol,tat,tEhti,8iN,bitun,pamgasan,bituon,Cillag,talao,bitun,botun,bittuwon,bittuan,bittuwon,bituen,pand3k,talaw,bitu7un,bituqun,bituwan,bittuwan,bitwEn,vitu3n,bitow3n,vitoh3n,hoSi,tombituon,bitu7un,bitun,bituwon,bituwon,talaw,bittuwen,talaw,batwin,biton,py~ol,bituqun,bituqun,NA,bitun,bito7on,bitu7on,bitu73n,bitu73n,bitu73n,bito7on,bitu73n,bitu73n,bitu7un,potean,bito7on,bituqin,bituon,bituwon,ty~aSty~e,bitu7on,bitu3n,ot,bitu,bituqun,bituqun,bituqun,bituqun,panakonun,biteuen,bitun,bitun,bitu73n,bitu73n,bitu7on,bitu7un,bitu7un,bito73n,NA,bituiN,holoN,mamahi,biton,naesti3,bituqun,bituqun,bituen,estreya,bitun,bitun,biton,NA,blotik,bituin,bitu7un,bitu7un,bitukun,bituon,rombituon,bitu7un,bitu73n,blotik,butitin,gito7on,y3ld3z,kbkb,biton,bitu7un,bitun,estrely~a,mata no aNit,bitohen,paru,taraw,bituon,bitu7on,mata no hany~it,vitohen,vitohen,talaw,bituwon,bitu7un,bitu7un,bituun,bitu7un,blatik,bitu7in,fituwon
stone,botu,batu,batu,boto,batu,batu,harri,batu,batu,batu,batu,batu,bato,batu,batu,bato,batu,bato,ca,batu,bito,batu,gapu7,batu,watu,bato,bato7,batu,bito7,rusu7,ston,sabana,kivi,kivi,8uokth~au,batu,batu7,batu,ki,bato,batu,batu,batu,batu,batu,bato,d3pgat,bato,watu,batu,batu,batu,bEtu,vatu7,bato,bato7,iSi,vatu,batu,batu,batu,batu,batu,batu7,bato,batu,NA,tol,gapuq,batu,kiuvkiu,watu,bato,batu,batu,batu,batu,bato,batu,batu,batu,batu,wato,batu,bato,batu,kev,batu,batu,Ch~uLu,uatu,gapuq,batu,batu,batu,batu,bato,batu,batu,batu,batu,bato,batu,batu,bato,batu,batu,hmou,batu,bato,gierki3,batu,batu,bato,piedra,batu,batu,bato,NA,botuh,batu,batu,batu,batu7,batu,watu,batu,batu,botuh,batu,batew,taS,abn,bato,batu,batu,py~edra,vato,bato,tali,fiato,bato,bato,vato,vato,bato,bato,batu,batu,batu,batu,batu,batu,igaN,fatu
sun,NA,NA,NA,NA,allaw,allaw,eguzki,NA,NA,NA,NA,NA,NA,3ld3w,qaldaw,NA,aldaw,NA,ien,ald3w,bilag,NA,NA,NA,NA,aldaw,NA,qaldaw,NA,sENg~it,s3n,%astro,paike,aurinko,likth~au,NA,NA,aldaw,nap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,qaldiw,mata,NA,NA,NA,NA,NA,%taiyo,tadau,adlaw,NA,NA,init,NA,NA,NA,NA,adlaw,hE,qaldaw,qaldaw,pEvaliki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,odow,3dd3w,nar,sinaN,qaldaw,qardaw,qadlaw,qanriw,NA,NA,NA,NA,7aldaw,3ld3w,NA,7adlaw,NA,NA,law,NA,hai,NA,NA,bieyi3,qaldaw,qadlaw,NA,sol,NA,NA,NA,alo,NA,araw,7aldaw,NA,NA,anlaw,NA,NA,7aldaw,NA,NA,teresaN,gineS,SapSu,adlaw,NA,igaw,sol,NA,NA,mataNadau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tongue,hilo,dila7,jila,dilo,della7,della7,mihi,dila7,dilo7,dila7,dila7,dila,dila,dila7,dilaq,rira7,dila7,dila,crta,dila7,dila,dila,dila7,dila,dila7,dila,dila7,dilaq,dila7,dila7,t3N,golitas,kel,kieli,ch~uiliek,dila,dila7,dila7,5elv,shila,zila,dila7,dila,dila,dila,dila,limut,Cila,dila7,riraq,dila,dila,hilE,rila7,dila,rida7,Sita,diha,dila7,dila7,dila,dila,dila,dila7,dila,dila7,dila,hy~o,dilaq,riraq,kyel,dila,dila7,dilo7,dila7,dila7,dila7,dila7,dil37,dila7,dila7,dala7,dila7,dilaq,dila,dela,kaly~,dila7,dila7,xiL,dila,dilaq,dilaq,dilaq,dilaq,dila7,dila,NA,NA,dila7,dila7,dila7,dila7,d3lla7,dila7,dila,dila,rope,dela7,dila7,5oekCy~em3,dilaq,dilaq,dila7,lengw~a,dila7,dila7,dila,NA,dilak,dila,dila,dila,dilak,dila7,dila,dila7,dil3p,dilak,dila7,dila7,dil,laSanu,dila,dela7,dila,le*Nw~a,lila,rida,dilo,Cila,dila7,dala7,lila,rida,rida,dila,dila,dila7,dila7,dila7,dila7,dila,dila7,Cila
tooth,Nipon,Nipun,Nipan,bub7o,emp~on,emp~on,horc,nip3n,kifan,kifan,Nip3n,kuhud,bab7a,nip3n,Nipin,Nip3n,Nipun,Nipon,ch~eipei,nip3n,Nip3n,Nipun,Nipon,bab7~a,nipon,Niti,ip3n,Nipin,Nip3n,Nipan,tu8,prind~ido,hammas,%hammas,Nai,Nipan,Nipun,Nipun,fog,saNi,Nipan,nipon,boba,baba,buba,Nipen,b37b3,saNi,Nipen,Nipin,Nipan,Nipan,NipEn,5ip3n,Nip3n,5ip3n,ha,nipon,Nip3n,untu,5ipon,Nipon,haNi,Nipen,bab7a,ipan,Nipon,i,Nipun,Nipon,ambaz,Nipen,Nip3n,Nipon,Nip3n,Nip3n,Nip3n,Nipon,Nip3n,Nip3n,untu,imp~on,Nipen,Nipin,Nipon,baba,pey,nipon,nip3n,Sut,Nipun,Nipun,tiNu,Nipun,Nipin,nip3n,Nipen,NA,NA,nip3n,nip3n,Nipon,Nipun,empon,Nip3n,isi,isi,honeN,empon,hipon,baeni3,tiNu,Nipun,nipen,diente,Nisi,Nisi,Nipon,Nipan,nihih,Nipin,nip3n,nip3n,NA,Nip3n,nipon,ipun,nip3n,nihih,dipon,kifen,diS,Sn,Nipon,imp~en,Nipan,dy~e*te,Nepen,5ipen,ipan,fiab,Nipon,imp~on,Nepen,5ipen,5ipen,baba,ngipon,untu,untu,untu,untu,kipan,Nip3n,fafa
tree,koyu,NA,kayu,awoy,kayu,kayu,zuhaic,kayu,kayu,kayo,kayu,NA,ka73w,kayu,kawuy,NA,kayu,NA,so,kayu,kEyo,NA,NA,NA,NA,kayo,NA,kawuy,kayo7,kayu7,tri,NA,pu,puu,ch~iu,kayo,NA,kayu,fa,NA,NA,NA,kayiw,ayiw,kayiw,NA,kiyu,kiy3w,NA,kawuy,kayu,kayu,NA,kayuh,kayo,kayo7,ki,kazu,kauy,kawuy,kayu,kayu,kallahan,keyew,ka7iw,NA,kahoy,namu,kahuy,kawuy,pu,NA,liwa7an,kayu,kayu,kayu,kayu,kayo,kayu,kuyu,ka7uy,NA,NA,NA,NA,NA,Sufta,kayu,kayu,mot,kayu,kahuy,kahuy,kahuy,kawuy,NA,NA,NA,NA,kayu,kayu,NA,kahuy,kayu,kayo,kayu,kayu,loaN,NA,NA,moer3,kahuy,kahuy,NA,arbol,kayu,gayu,NA,kayu,koyuh,punuNkahoy,kayu,kayu,ayu7,kayu,NA,kahuy,kayu,NA,NA,kayew,ayaC Sejere,XsX~,NA,NA,kayu,%pu*o,NA,NA,kayu,NA,NA,NA,NA,NA,NA,NA,NA,kauy,ka7uy,kauy,ka7uy,NA,NA,NA
two,duwo,dawah,dua,duwo,duwa,duwa,bi,dua,lw3,lw3,daduwa,dua,dowa,dua,duwa,dowa,daruwa,duwa,ta,dua,dua,duha,duwa,duwa,duo,dua,darwa,duwa,3duwa7,duwa,tu,%tri,kaks,kaksi,naN,addwa,duwa,daruwa,ketti,shuwa,duwa,duo,duwa,duwa,duwa,dua,duwa,Cowa,dua,darawa,duwa,duwa,duE,duha7,dowa,dadoa7,futacu,duvo,darawa,duwa,duwa,duwa,duwa,dewwa7,dowa,adwa7,NA,tul,duwa,duwa,kakS,duwa,dowa,dadawa,dadua,d3ruwa,duwa,dowa,dadua,d3zuwa,duwa,duwa,doa,dalwa,duha,duwa,kafta,dua,dua,xoyor,dua,duwa,dawha,duwa,duwa,dua,duara,duwa,duwa,dua,dua,duha,duha,dua,loa,dalua,dalua,pea,duwa,darwa,gekt3,duwa,duwa,dua,dos,dua7,dua7,duha,duwa,l3wuh,dalawa,dua,dua,durua7,daduwa,duo,duah,dua,sotuh,dond~o7,dos,iki,8n,duha,duwe,addu,dos,dowa,dowa,NA,Cowa,NA,NA,dowa,dadw~a,dadw~a,dowE,duwa,duwa,duwa,duwa,duwa,l3wu,dar7a,Cuwa
water,donum,tubi7,danum,d3num,bohe7,bohe7,ur,danum,e7el,ye7el,wahig,beig,danom,danum,tubig,tobig,wahig,tubig,sr,danum,d3num,tubig,tubig,danum,waig,wai,tubig,tubig,dinom,dinom,wat3r,koly~ar,vesi,%vesi,cui,danum,danum,wahig,viz,shanom,danum,sapa7,litiN,danum,leteN,danum,d3num,Canom,aig,tubig,danum,danum,dEnum,ranum,danom,danom,mizu,vaig,waig,tubig,danum,danum,danum,danum,danom,danum,tubig,mul,tubig,tubig,veic,ig,sapa7,woig,w3hig,wayig,way3g,wayog,w3ig,wahig,tubig,bohe7,ig,tubig,tubig,danum,vy~edy~,danum,danum,us,ig,tubig,tubig,tubig,tubig,danum,danom,bohe7,bohe7,danum,danum,tubi7,tubi7,bohe7,lanom,ake7,ake7,tea,bohe7,awad,Cy~aeci3,tubig,tubig,danom,agw~a,tubig,tubig,tubig,wayig,el,tubig,danum,danum,wai7,wahig,waig,tubig,danum,el,timug,reguwas,su,my,tubig,bohe7,danum,agw~a,ranom,ranom,aiek,Canom,tubig,buwahi7,ranom,ranom,danom,danom,danum,tubig,tubig,tubig,tubig,37il,la7u,Canum
we,ikitam,kitah,sittam,ditaw,kitabi,kitabi,gu,kitami,ato,ito,sikuy,sesia,datako,kami,kita,kita,yaNkuy,kita,Nuo,kami,sikitam,kita,kita,dataku,iato,kita,kita,kita,sikitam,hikitam,wi,arh~itika,meie,%me,NuaikoneiN,ikkanetam,kita,yaNkuy,mi,sih7~katedy~o,sitam,kito,dita77u,ditu7u,ditu7u,datayo,sikisi,si7kito,sekita,kita,dakami,da7tada,ikEmi,yat3n,ditayo,yat3n,wareware,toko,kay,kitadun,dita7o,dikami,hi7gatayu,hi7gatyu7,datako,itamu,kita,uri,kita,kita,meg,NA,kita,sikanta,kin3w,sikita,kita,sikitadon,sikanta,sikit3w,kita,kitabi,kita,kita,kita,ditaku,my~i5,kay,kai,py~it,ta,kita,kita,kita,kita,kitami,sikami,kita,kita,kami,kami,kita,kita,kitam,hitamo,NA,ikame,pa,kita,ikam,miyieh,kita,kita,kami,nosotros,ita,ita,kita,ki,t3kuy,tayo,kami,tami,ita,yaNkuy,yahai,kitaniuh,kami,duh,to,betom,biz,NA,kita,kita,NA,%kita,NA,NA,NA,NA,kita,kami7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
you,iko,ikaw,sikaw,he7a,ka7a,ka7a,zuek,ikaw,g3,g3,sikaw,NA,sik7a,k3,kamu,ika,yaNka,ikaw,nu,NA,siko,ikaw,ika,sikoa,ia7,ka,ikaw,kamu,siko,hikaw,yu,samo,sina,%sinE,ne,ikka,kawu,yaNka,te,sih7~kam,sikaw,ikaw,he77a,he77a,he77a,sika,sika,si7kam,ta,kamu,ikaw,ikaw,ikEw,imu7,dika,imo7,anata,ko,ka,ikaw,si7a,sika,hi7gam,hi7gam,sik7a,ika,ikaw,taNsin,kamu,kamu,sinasa,ka,iko,sikoykow,sikuna,sikuna,kuna,sikona,sik3ik3w,sik3w,ikaw,ko,ka,qikaw,ikaw,sika,ton,ko,k3,Ch~i,ka,kamu,kamu,kamu,kamu,ikaw,sika,ka7u,ka7u,ka,k3,ikaw,7ikaw,ka7a,hika,kaw,ikaw,eh,kow,NA,datn3,kamu,kamu,ikew,ustet,ika,ya7a,ikaw,nu,u7uh,ikaw,ka,ka,yawa,yaNka,ika,kaw,k3,o7uh,kow,be7em,sen,ata,ikaw,ka7u,NA,ebos,NA,NA,NA,NA,ikaw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
