concept,AGTA,AKLANON,ARTA,ATTA PAMPLONA,BAJAU WEST COAST,BALANGAW,BALANGINGI SAMA,BANTON BANTOANON,BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BONGGI,BONTOC GUINAANG,BUHI,BUKIDNON BINUKID,BUTUANON,CAIJIA,CEBUANO,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ITAWIT,ITNEG BINONGAN,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAMANWA,MANIDE,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MONGOLIAN,MORO MAGINDANAU,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TAUSUG,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,UMIRAY DUMAGET AGTA,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,CAPIZNON,FINALLIG,HILIGAYNON,INABAKNON,KALAGAN KAAGAN,KANKANAEY,MANDAYAN BOSO,MANDAYAN ISLAM PISO,SINAUNA,SOUTHERN KALINGA
fish,ikan,isda7,NA,sira,diN,g3diw,daiN,israq,arrain,s3da7,nalaf,nalaf,sadak,gad3w,qisraq,isda7,isda,xuN,isda,daiN,isda7,siraq,ikan,padut,fiS,%pir,kala,kala,Ni,koriraw,isda7,isda7,hal,sira,pait,dolog,NA,dolog,ikan,guduN,pa7id3N,seda7,qisiraq,sisida,dilis,lam3s,uo,sada,sida7,isda7,lamos,ikan,pa7ill3N,ikan,asan,isda,mul kogi,siraq,qisoraq,kala,ida7,kabilihwog,Nalap,isda7,s3ra7,uton,ikan,Nalap,pa7it,kaya,dayiN,seda7,isda,ugadiw,kal,soda7,caGas,seda,qisdaq,siraq,qisraq,s3da7,sira,daiN,s3da7,s3da7,isda,daiN,ikan,kina7,ka,deyN,isda7,gueli3,silaq,qisdaq,seda7,peskado,soda7,s3da7,isda,NA,uton 7el,isda,s3da7,ian,ista7,papait,sedo7,bal3k,dg,NA,isda,kena,ikan,peskaw,amoN,amoN,sada,isda,kiaCiw,isda,dayiN,NA,nigay,kaya,NA,isda7,ukaCiw
flesh,NA,NA,NA,NA,NA,NA,NA,NA,haragi,NA,NA,NA,NA,NA,NA,sapu7,NA,NA,NA,NA,NA,NA,NA,NA,flES,NA,liha,liha,NA,NA,tuban,sapu7,hus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,niku,NA,NA,NA,NA,NA,NA,NA,katawan,NA,kogi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,honeh,NA,NA,NA,NA,NA,NA,karne,NA,NA,NA,NA,NA,karne,NA,NA,NA,NA,NA,vijut,NA,NA,NA,NA,NA,NA,asisi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fly,NA,NA,NA,NA,NA,NA,NA,NA,hegan,NA,NA,NA,NA,NA,NA,layang,NA,NA,NA,NA,NA,NA,NA,NA,flEi,NA,lenda,lentE,NA,NA,lumayaN,layang,repil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tobu,NA,NA,NA,NA,NA,NA,NA,sulapo,NA,nal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ly~iyems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,koneaN,NA,NA,NA,NA,NA,NA,vola,NA,NA,NA,NA,NA,lipad,NA,NA,NA,NA,NA,uCur,NA,NA,NA,NA,NA,NA,salap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
foot,NA,NA,NA,NA,NA,NA,NA,NA,oin,NA,NA,NA,NA,NA,NA,pa7a,NA,NA,NA,NA,NA,NA,NA,NA,fut,NA,jalg,jalka,NA,NA,raparapa,pa7a,labfej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aSi,NA,NA,NA,NA,NA,NA,NA,bitis,NA,pal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pily~ge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CeaN,NA,NA,NA,NA,NA,NA,pie,NA,NA,NA,NA,NA,pa,NA,NA,NA,NA,NA,ayak,NA,NA,NA,NA,NA,NA,ayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
full,moponnu,NA,minapano,napannu,NA,napno,ponno7,NA,beterik,p3gp3g,fno7,fno7,NA,napno,punuq,napunu7,NA,p3u,NA,pigpig,NA,punuq,putat,mabiyag,ful,NA,tais,tEysi,muaN,nap3nnwen,NA,napunu7,tele,NA,NA,napnu,napnu,napnu,NA,p3nu,napno,NA,punuq,napnu,NA,napno,miCita,noponu,panu,nyatmo7,napnu,napnu,napnu,napno,NA,NA,Can,panuq,punuq,tEuc,katmo7,bagtok,kaponu7,nap3nu7,n3p3nu7,n3p3nu7,pono7,nap3nu7,p3nu7,itmu7,NA,NA,NA,NA,paSksy~e,ponu7,puth~iN,napunu,buta,punuq,punuq,NA,NA,NA,NA,NA,punu7,ap3nno7,napno7,mapene7,peN,NA,NA,d3ev3s,panuq,punuq,NA,yeno,omponu7,mp3nu7,NA,panu,hnok,puno,punu,punuk,hipu7,NA,besor,dolugun,NA,pino,NA,NA,pannu,ly~e*o,NA,NA,NA,NA,NA,NA,NA,biyag,NA,yamabiyag,biyag,NA,NA
good,NA,NA,NA,NA,NA,NA,NA,NA,on,NA,NA,NA,NA,NA,NA,maayad,NA,NA,NA,NA,NA,NA,NA,NA,gud,NA,hea,hy~vE,NA,NA,mayad,maayad,jo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yoi,NA,NA,NA,NA,NA,NA,NA,makayap,NA,Cohun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,para,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lem,NA,NA,NA,NA,NA,NA,bw~eno,NA,NA,NA,NA,NA,mabuti,NA,NA,NA,NA,NA,iyi,NA,NA,NA,NA,NA,NA,ya pia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grease,NA,NA,NA,NA,NA,NA,NA,NA,gancu,NA,NA,NA,NA,NA,NA,grasa,NA,NA,NA,NA,NA,NA,NA,NA,%gris,NA,rasv,%rasva,NA,NA,taba7,grasa,Zir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juSi,NA,NA,NA,NA,NA,NA,NA,taba7,NA,kirum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kuya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grasa,NA,NA,NA,NA,NA,taba,NA,NA,NA,NA,NA,ya,NA,NA,NA,NA,NA,NA,avo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
green,NA,NA,NA,NA,NA,NA,NA,NA,orlegi,NA,NA,NA,NA,NA,NA,mahilaw,NA,NA,NA,NA,NA,NA,NA,NA,grin,NA,roheline,vihreE,NA,NA,latuy,mahilaw,zild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,midori,NA,NA,NA,NA,NA,NA,NA,berde,NA,Corok sEk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,piZe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jeh,NA,NA,NA,NA,NA,NA,verde,NA,NA,NA,NA,NA,berde,NA,NA,NA,NA,NA,yeSil,NA,NA,NA,NA,NA,NA,garaw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hair,NA,NA,NA,NA,NA,NA,NA,NA,ile,NA,NA,NA,NA,NA,NA,buhok,NA,NA,NA,NA,NA,NA,NA,NA,hEr,NA,juksed,tukka,NA,NA,bukuk,buhok,haj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ke,NA,NA,NA,NA,NA,NA,NA,bw~ak,NA,moritol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sayary~,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sak,NA,NA,NA,NA,NA,NA,pelo,NA,NA,NA,NA,NA,buhok,NA,NA,NA,NA,NA,saC,NA,NA,NA,NA,NA,NA,ovok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hand,komot,alimah,NA,lima,taNan,limo,taNan,damut,esku,alima,sigal,sigal,fi,lima,kamit,alima,alima,suo,kamut,alima,lima,kamit,kam3t,kamat,hEnd,dapami,kasi,kEsi,ch~iu,laNalay,kamaN,alima,kez,lima,opi7,ta7le,Namay,ta7le,ima,gima,takday,lima,kamit,ima,imE,ima,te,pahad,blukan,biktin,ima,taklay,taklay,l3d3N,gamat,alima,son,kamut,kamot,keic,alima,NA,bolad,b3ad,b3lad,b3lad,bolad,b3lad,b3lad,b3kt3n,taNan,lima,kamot,ima,kady~,loNon,Gar,lima,kamut,kamut,kamit,alima,lima,taNan,lima,lima,kamut,taNan,gam3t,lima,koN,taNan,alima,g3et3,kamut,kamut,elima,mano,komot,beNk3n,alima,balad,sig3l,kamay,alima,kalima7,limah,kalind~u7,kuwonon,el,yd,komot,kamot,%taNan,kamat,ma*o,pamamahadan,panorowan,luNon,kamot,lima,kamut,kamb~ag,b3kt3n,takay,b3kt3n,b3kt3n,alima,ima
head,NA,NA,NA,NA,NA,NA,NA,NA,buru,NA,NA,NA,NA,NA,NA,ulo,NA,NA,NA,NA,NA,NA,NA,NA,hEd,NA,pea,pEE,NA,NA,ulu,ulo,fej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atama,NA,NA,NA,NA,NA,NA,NA,buntuk,NA,mori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pry~a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ko,NA,NA,NA,NA,NA,NA,kabesa,NA,NA,NA,NA,NA,ulo,NA,NA,NA,NA,NA,baS,NA,NA,NA,NA,NA,NA,oho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hear,modoNog,nakabati7,atiNen,maginna,kale,doNal,kale,NA,encun,bati7,liN3,liN3,kidoNor,d3N3l,riNig,paliman,moduNog,th~i,duNug,bati,bati7,diNig,bati7,matiman,hir,yant~isi,kul,kuule,th~iaN,madiN3g,dunug,paliman,hallan,magina,kiNog,doNol,doNol,doNlon,deNeg,d3N3g,kid3N,neg,riNig,magina,magina,mana7ag,kiku,koNo,mati,d3N3g,doNlon,doNol,d3dN3l3n,d3NN3,damdaman,NA,tut,daNug,roNog,NA,bati7,kalkal,dinog,din3g,rin3g,din3g,dinog,din3g,din3g,d3N3g,ke,makineg,magbati,doNo8,mary~ams,doNog,sonso,kinug,duNug,matiq,riNig,bati7,deNuel,ke,eNeg,kineg,banawbanaw,kale,mal3N37,makadiNir37,taN,kale,bati7,gowl3,daNug,batiq,kiNeg,oir,mokinoNog,m3d3N3g,duNog,dinag,muNol,dinig,g3n3g,d3N3l,magduNug,doNog,bohol,iSitmek,SmX,ikna,pamati,takale,sim,si*ti,mamiziN,adNey,kruNau,mabati,Congron,mati,kali,d3N3g,deNen,y3d3N3g,d3N3g,landap,Congron
horn,NA,NA,NA,NA,tanduk,NA,tand~uk,NA,adar,NA,NA,NA,NA,NA,suNiy,suNay,NA,ko,NA,sirbato,NA,suNay,NA,saduk,horn,NA,%sarv,%sarvi,koik,NA,NA,suNay,sarv,NA,NA,NA,NA,NA,NA,NA,NA,NA,suNuy,sagud,NA,NA,cuno,saNau,suNay,NA,NA,sakgud,NA,NA,NA,busina,bul,suNay,suNoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sy~ura,tand~uk,iwir,siduN,suNay,suNay,suNuy,NA,NA,NA,NA,NA,suNay,NA,NA,NA,NA,NA,NA,%Cy~oervi3,suNay,suNay,NA,kw~erno,NA,NA,NA,NA,NA,saNay,NA,NA,NA,NA,siduN,bonuz,qrn,NA,NA,NA,tagud,kw~erno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hot,NA,NA,NA,NA,NA,NA,NA,NA,bero,NA,NA,NA,NA,NA,NA,mainit,NA,NA,NA,NA,NA,NA,NA,NA,hat,NA,soe,kuuma,NA,NA,ma7init,mainit,meleg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acui,NA,NA,NA,NA,NA,NA,NA,mapali7,NA,dugoun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ly~amby~e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,to,NA,NA,NA,NA,NA,NA,kaliente,NA,NA,NA,NA,NA,mainit,NA,NA,NA,NA,NA,s3jak,NA,NA,NA,NA,NA,NA,anNet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kill,NA,NA,NA,NA,NA,NA,NA,NA,hilarazi,NA,NA,NA,NA,NA,NA,himatayi,NA,NA,NA,NA,NA,NA,NA,NA,kil,NA,tap,tappa,NA,NA,maty~un,himatayi,il,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,korosu,NA,NA,NA,NA,NA,NA,NA,pate,NA,Cuki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Savoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mata,NA,NA,NA,NA,NA,patay,NA,NA,NA,NA,NA,3ldir,NA,NA,NA,NA,NA,NA,zakat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
knee,tud,NA,NA,duluN,NA,goNo,tu7ut,NA,belaun,tuud,bukal,bukal,NA,pow3g,tuwud,bu7ol,NA,NA,NA,tod,NA,tu7ud,tod,guwalab,ni,ilkdo,%polv,polvi,kh~akph~uth~au,atud,NA,bu7ol,terd,NA,NA,lulug,lulug,lulug,NA,NA,pow3g,NA,tuwud,utud,NA,pow3g,hiza,totud,bu7ul,bukubuku,puwog,puwog,puw3g,pow3g,NA,tuhod,murup,tuhud,tuwud,puola,tohod,bu7luN,bu7ol,aib,bu73l,lulud,bo7ol,bu73l,bu73l,tu7ud,NA,NA,NA,NA,ely~,bulanbulan tukud,uwtug,alub,tuhud,tuhud,tu7ud,NA,NA,NA,NA,NA,tuhud,tu7ut,to7ol,buku,kraN,NA,NA,boelv3,tuhud,tuhud,NA,rodiya,glulud,dlulud,NA,NA,bukol,tuhod,tu7ud,tuud,tuhud,NA,etur,diz,brk,tud,NA,NA,tud,rudily~a,NA,NA,NA,NA,NA,NA,NA,NA,NA,tu7ud,tuud,NA,NA
know,NA,NA,NA,NA,NA,NA,NA,NA,yakin,NA,NA,NA,NA,NA,NA,katuon,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,tead,tietE,NA,NA,magka,katuon,tud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,balwan,NA,al,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sodams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nai,NA,NA,NA,NA,NA,NA,sabe,NA,NA,NA,NA,NA,alam,NA,NA,NA,NA,NA,bil,NA,NA,NA,NA,NA,NA,teneN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leaf,don,dahun,don,don,NA,tubu,dahun,rahon,hosto,daun,do7on,do7on,doudn~,tobo,dawun,dahon,dahon,NA,dahun,daon,dawn,dawun,don,don,lif,saliti,%let,%lehti,nuok,adon,labuN,dahon,level,don,daun,tubu,paya7,tubu,buloN,buN,boloN,raun,dawun,adon,don,tobo,kono ha,lon,daun,dawun,tubu,tubu,buluN,tobo,buluN,NA,iph~,dahun,dawun,lyed,dahon,dahun,doun,d3hun,dawun,da7un,dawon,d3un,dahun,da7un,dawun,ra7on,dahon,tubu,lopa,do7un,nawCh~,laun,dahun,dahun,dawun,daun,buloN,daun,da7un,d37un,dahun,daun,boloN,dauN,hla,down,dahon,%last3,dahun,dahun,deon,oha,daon,doon,dahon,daun,do7un,dahon,da7un,k3lad,dahun,daun,da7un,yeprak,NA,agid,dahon,dawen,don,ohas,vohoN,bohoN,dun,dahon,tofo,dahon,dahon,NA,tobo,NA,NA,hayin,tufu
lie,NA,NA,NA,NA,NA,NA,NA,NA,ecan,NA,NA,NA,NA,NA,NA,bidu7,NA,NA,NA,NA,NA,NA,NA,NA,lEi,NA,lama,makaa,NA,NA,igya7,bidu7,fekid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wokotawa,NA,NA,NA,NA,NA,NA,NA,kera,NA,kojitmalul ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,madozy~ aSCy~ems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,koi,NA,NA,NA,NA,NA,NA,akosta,NA,NA,NA,NA,NA,higa,NA,NA,NA,NA,NA,yat,NA,NA,NA,NA,NA,NA,iray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
liver,ogol,atay,dalem,agal,atay,agtoy,atay,atay,gibel,atay,atoy,atay,ati,agt3y,qatay,atay,atay,sanka,atay,kandat,atay,qatay,agte7,agtay,liv3r,was,maks,maksa,kaN,al,atay,atay,maj,agal,atay,alte,oltay,olte,dalem,agsi,alt3y,atai,qatay,agtay,EgEl,agt3y,NA,toNkovizau,atay,atay,agtoy,agtoy,alt3y,at3y,ate,atay,kan,katuy,qatay,maksa,pato,NA,atoy,at3y,at3y,atay,atay,at3y,at3y,atay,atay,atay,atay,agtoy,maksa,atoy,iLig,atay limpa,qatay,qatay,qatay,atay,altey,atay,7atay,at3y,7atay,atay,agtay,ate,kliam,atey,atay,libri3,katuy,qatay,atey,igado,gatoy,gatay,atay,NA,katay,atay,atay,kandas,atay,aNk~ayaw,tagah,%karajiyer,kbd,NA,atay,bua7,agal,igaw,atay,atayi,lakaiau,atay,agtoy,atay,atay,atay,atey,atay,atay,atay,agtoy
long,NA,NA,NA,NA,NA,NA,NA,NA,luze,NA,NA,NA,NA,NA,NA,mataNkaw,NA,NA,NA,NA,NA,NA,NA,NA,loN,NA,pikk,pitkE,NA,NA,aba,mataNkaw,hossu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nagai,NA,NA,NA,NA,NA,NA,NA,makaba,NA,kin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kuvaka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Son,NA,NA,NA,NA,NA,NA,largo,NA,NA,NA,NA,NA,mahaba,NA,NA,NA,NA,NA,uzun,NA,NA,NA,NA,NA,NA,naro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
louse,kutu,kutuh,utu,kutu,NA,oto,kutu,kuto,zorri,kutu,kutu7,kutu,NA,koto,kutu,lisa7,kuyamad,sei,kutu,kayamad,kuto7,kutu,kuto7,kutu7,laus,hoko,tai,tEi,8aikmo,kutu,kutu,lisa7,teti,lita,kutu,utu,utu,utu,kuto,kutu,koto,kutu,kutu,kutu,kutu,koto,NA,kutu,kutu,bab3N,utu,kutu,kutu,koto,kutu,NA,i,kutu,kutu,NA,toma,NA,kutu,kutu,kutu,kutu,koto,kutu,kutu7,kutu,kutu,koto,kuto,kutu,sy~i,kutu,pos,NA,kutu,kutu,kutu,kutu,kuto,kutu,kutu,kutu,tuma,kutu,koto,kutu7,Sro,kutu,koto,diki3,kutu,kutu,kuto,pioho,gotu,gutu,kuto,NA,kutuh,kuto,kutu,tut7,kutuh,kutu,kuwor,bit,NA,NA,tuma,kutu,tuma,%kutu,toma,bigaw,NA,kuto,koto,NA,kuspad,bab3N,koto,kutu,kutu,kutu,utu
man,NA,NA,NA,NA,NA,NA,NA,NA,gizon,NA,NA,NA,NA,NA,NA,ma7ama,NA,NA,NA,NA,NA,NA,NA,NA,mEn,NA,mes,mies,NA,NA,lalaki,ma7ama,mies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hito,NA,NA,NA,NA,NA,NA,NA,lalaki,NA,namja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aly~a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,konou,NA,NA,NA,NA,NA,NA,ombre,NA,NA,NA,NA,NA,lalaki,NA,NA,NA,NA,NA,erkek,NA,NA,NA,NA,NA,NA,mehakay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
moon,NA,NA,NA,NA,NA,NA,NA,NA,ilargi,NA,NA,NA,NA,NA,NA,bulan,NA,NA,NA,NA,NA,NA,NA,NA,mun,NA,ku,kuu,NA,NA,bulan,bulan,hold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cuki,NA,NA,NA,NA,NA,NA,NA,bulan,NA,tal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ke,NA,NA,NA,NA,NA,NA,luna,NA,NA,NA,NA,NA,buwan,NA,NA,NA,NA,NA,ay,NA,NA,NA,NA,NA,NA,vehan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mountain,bogetoy,NA,bukid,puddul,gunuN,bilig,bullud,NA,mendi,bulud,bulul,bulul,NA,bilig,bukid,buntod,NA,tip3u,NA,bukid,NA,bulud,buked,tagilEtel,%maunt3n,NA,magi,vuori,8aN,kulud,NA,buntod,hegy~,NA,NA,billid,duntug,bilid,NA,b3silid,contog,NA,kulud,bant~ay,NA,bilig,yama,nuhu takavas,bukid,buntud,bilig,bateled,duntug,bilig,NA,bukid,san,bulud,qampas,mEg,boboN,beNag,bubuNan,untud,bubuNan,g3tan,bontod,bubuNan,buntud,b3tay,NA,NA,NA,NA,panda,bukid,uL,palau,burud,bulud,bukid,NA,NA,NA,bukid,bukid,bakuyud,buud,bakil,bud37,No,NA,NA,Cy~ak3,bulud,bulud,NA,sero,bontod,b3ntud,NA,pabuNan,bulul,bundok,bukid,bukid,buud,NA,menitey,da silsilesi,gbl,NA,NA,NA,bakulud,%bu*dak,NA,NA,bukit,NA,NA,NA,NA,NA,NA,b3tay,butay,NA,NA
mouth,NA,NA,NA,NA,NA,NA,NA,NA,aho,NA,NA,NA,NA,NA,NA,ba7ba7,NA,NA,NA,NA,NA,NA,NA,NA,mau8,NA,su,suu,NA,NA,bibig,ba7ba7,saj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kuCi,NA,NA,NA,NA,NA,NA,NA,asbuk,NA,ip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kurga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rokoN,NA,NA,NA,NA,NA,NA,boka,NA,NA,NA,NA,NA,buNaNa,NA,NA,NA,NA,NA,ay3z,NA,NA,NA,NA,NA,NA,NoNoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
name,Nogan,Naxan,Nadin,Nagan,oron,Nadon,on,Nayan,izen,Naran,dagit,dagit,eNardn~,Nadan,Naran,Naran,Nan,mi,Nalan,Nalan,aran,Naran,Nahen,nagEn,nem,laNg~is,%nimi,%nimi,miaNcei,Nan,Naran,Naran,nev,Nagan,naran,Nadan,Nadan,Nadan,nagan,Nad3n,Naran,Naran,Naran,Nagan,nEhEn,Nalan,na,Nan,Naran,Nalan,Nadan,Nadan,Nadan,Nadan,lagyu7,NA,irum,Naran,Naran,nim,Naran,Nadon,Nadan,Nadan,Naran,Nadan,Nadan,Nadan,Nazan,aran,awon,Naran,Naran,Nadan,ly~em,Nadan,nir,Nalan,Naran,Naran,Naran,Naran,Naran,on,Naran,Naran,tawag,oon,Nalan,aleN,inai,NA,Naran,%nom3,Nalan,Naran,Naran,nombre,Nalan,Nalan,Nayan,Nadan,boluy,paNalan,Naran,aran,Nan,galan,dawet,isim,Sm,Nalan,Naran,alen,nagan,nomb~re,Naran,Naran,naran,ngalan,ngadan,Nalan,aron,Nan,Nadan,galan,gaan,Naran,ngaCan
neck,NA,NA,NA,NA,NA,NA,NA,NA,lepo,NA,NA,NA,NA,NA,NA,li7ug,NA,NA,NA,NA,NA,NA,NA,NA,nEk,NA,kael,%kaula,NA,NA,li7ug,li7ug,5ak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kubi,NA,NA,NA,NA,NA,NA,NA,batal,NA,mok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sy~aldaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ronoN,NA,NA,NA,NA,NA,NA,kw~eyo,NA,NA,NA,NA,NA,leg,NA,NA,NA,NA,NA,boyun,NA,NA,NA,NA,NA,NA,zagaw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
